"Día","Línea de Servicio","Hora de operación","","","","","","","","","","","","","","","","","","","",""
"","","4:00","5:00","6:00","7:00","8:00","9:00","10:00","11:00","12:00","13:00","14:00","15:00","16:00","17:00","18:00","19:00","20:00","21:00","22:00","23:00","Total general (Número de pasajeros)"
"09/01/2023","LÍNEA M","","","","","","221 ","257 ","219 ","257 ","234 ","265 ","392 ","376 ","386 ","400 ","399 ","353 ","246 ","94 ","","4,099 "
"09/01/2023","LÍNEA O","21.00 ","305.00 ","262.00 ","237.00 ","199 ","222 ","261 ","291 ","261 ","235 ","286 ","317 ","353 ","348 ","375 ","341 ","332 ","271 ","31 ","","4,948 "
"09/01/2023","LÍNEA P","","","","","61 ","492 ","577 ","576 ","530 ","402 ","486 ","551 ","648 ","679 ","642 ","624 ","431 ","227 ","16 ","","6,942 "
"09/01/2023","LÍNEA T-A","181.00 ","673.00 ","849.00 ","764.00 ","681 ","903 ","1,187 ","1,244 ","1,338 ","1,377 ","1,438 ","1,628 ","1,729 ","1,930 ","1,851 ","1,650 ","1,502 ","1,242 ","296 ","","22,463 "
"10/01/2023","LÍNEA 1","2,472 ","6,214 ","8,812 ","8,185 ","5,306 ","4,762 ","4,182 ","4,006 ","4,278 ","4,279 ","4,914 ","5,306 ","6,837 ","8,927 ","7,139 ","4,317 ","3,004 ","2,358 ","1,197 ","","96,495 "
"10/01/2023","LÍNEA 2","108 ","605 ","878 ","911 ","846 ","910 ","906 ","983 ","1,041 ","1,100 ","1,257 ","1,459 ","1,846 ","2,132 ","1,757 ","1,179 ","655 ","451 ","184 ","","19,208 "
"10/01/2023","LÍNEA A","13,705.00 ","34,192.00 ","49,093.00 ","41,535.00 ","26,947 ","23,947 ","22,190 ","22,119 ","24,683 ","25,266 ","31,063 ","32,577 ","48,472 ","67,823 ","52,426 ","29,656 ","19,509 ","15,338 ","8,849 ","","589,390 "
"10/01/2023","LÍNEA B","2,593.00 ","5,618.00 ","7,619.00 ","6,533.00 ","4,221 ","3,945 ","3,601 ","3,711 ","3,969 ","3,922 ","4,329 ","4,601 ","5,955 ","8,677 ","6,473 ","3,892 ","2,615 ","1,896 ","1,001 ","","85,171 "
"10/01/2023","LÍNEA H","137.00 ","121.00 ","397.00 ","270.00 ","136 ","134 ","114 ","108 ","104 ","93 ","65 ","74 ","69 ","63 ","43.00 ","31.00 ","38.00 ","17.00 ","6.00 ","","2,020 "
"10/01/2023","LÍNEA J","1,124 ","2,152 ","2,172 ","1,674 ","1,242 ","843 ","788 ","710 ","766 ","639 ","538 ","535 ","582 ","674 ","415 ","354 ","277 ","150 ","31 ","","15,666 "
"10/01/2023","LÍNEA K","2,207 ","2,724 ","2,680 ","2,087 ","1,606 ","1,260 ","1,033 ","1,074 ","1,275 ","1,015 ","792 ","772 ","946 ","802 ","715 ","589 ","564 ","292 ","99 ","","22,532 "
"10/01/2023","LÍNEA M","281 ","619 ","752 ","534 ","353 ","247 ","281 ","251 ","306 ","291 ","332 ","454 ","510 ","805 ","963 ","772 ","462 ","286 ","263 ","","8,762 "
